triangle_index,centroid_x_m,centroid_y_m,centroid_z_m,strain_eqv
269,0.874932952947,0.262871473963,0.0011,5.72359913697e-05
270,0.0749329529467,0.962871473963,0.0011,0.00144460706058
271,0.175189145839,0.11647566115,0.0011,0.00121317465417
272,0.675189145839,0.11647566115,0.0011,0.000205924318883
273,0.275189145839,0.11647566115,0.0011,0.000958857168963
274,0.575189145839,0.11647566115,0.0011,0.00035098887384
275,0.875189145839,0.11647566115,0.0011,4.1314853355e-05
276,0.475189145839,0.11647566115,0.0011,0.000527344228341
277,0.375189145839,0.11647566115,0.0011,0.000730791381571
278,0.175189145839,0.21647566115,0.0011,0.00118918903779
279,0.675189145839,0.21647566115,0.0011,0.000216324790915
280,0.275189145839,0.21647566115,0.0011,0.00094691241333
281,0.575189145839,0.21647566115,0.0011,0.000358764467102
282,0.475189145839,0.21647566115,0.0011,0.00053061076583
283,0.875189145839,0.21647566115,0.0011,5.64329241989e-05
284,0.375189145839,0.21647566115,0.0011,0.00072740815216
285,0.175189145839,0.31647566115,0.0011,0.00117104632999
286,0.175189145839,0.41647566115,0.0011,0.00115482114414
287,0.175189145839,0.61647566115,0.0011,0.00111115835271
288,0.675189145839,0.61647566115,0.0011,0.000233923284352
289,0.175189145839,0.51647566115,0.0011,0.00113582298344
290,0.175189145839,0.91647566115,0.0011,0.00102885003716
291,0.175189145839,0.81647566115,0.0011,0.00104083452219
292,0.675189145839,0.31647566115,0.0011,0.000221051079363
293,0.175189145839,0.71647566115,0.0011,0.00107859988603
294,0.975189045792,0.11647553685,0.0011,3.38112152599e-05
295,0.675189145839,0.91647566115,0.0011,0.000274101820073
296,0.275189145839,0.31647566115,0.0011,0.000937936644079
297,0.575189145839,0.51647566115,0.0011,0.000367021657029
298,0.775189145839,0.11647566115,0.0011,9.83988273242e-05
299,0.675189145839,0.71647566115,0.0011,0.000243824236503
300,0.875189145839,0.51647566115,0.0011,5.96393570438e-05
301,0.875189145839,0.81647566115,0.0011,5.48821984688e-05
302,0.375189145839,0.31647566115,0.0011,0.000723615005028
303,0.575189145839,0.31647566115,0.0011,0.000362113099005
304,0.0751891458392,0.11647566115,0.0011,0.00148417113192
305,0.875189145839,0.31647566115,0.0011,6.15061874158e-05
306,0.475189145839,0.61647566115,0.0011,0.000533210399551
307,0.575189145839,0.61647566115,0.0011,0.000372875460874
308,0.275189145839,0.61647566115,0.0011,0.000902522298743
309,0.575189145839,0.71647566115,0.0011,0.000383316488057
310,0.875189145839,0.61647566115,0.0011,5.74595921086e-05
311,0.275189145839,0.51647566115,0.0011,0.000916878852438
312,0.375189145839,0.61647566115,0.0011,0.000710360105511
313,0.275189145839,0.41647566115,0.0011,0.000928445945477
314,0.475189145839,0.31647566115,0.0011,0.000530984568215
315,0.475189145839,0.81647566115,0.0011,0.000555996354771
316,0.275189145839,0.71647566115,0.0011,0.000887440798233
317,0.675189145839,0.41647566115,0.0011,0.000223867593153
318,0.675189145839,0.51647566115,0.0011,0.000227586713945
319,0.675189145839,0.81647566115,0.0011,0.000257516459309
320,0.275189145839,0.91647566115,0.0011,0.000898613577382
321,0.575189145839,0.41647566115,0.0011,0.000364057527602
322,0.375189145839,0.51647566115,0.0011,0.000714770355072
323,0.375189145839,0.81647566115,0.0011,0.000718667847596
324,0.875189145839,0.71647566115,0.0011,5.57102696828e-05
325,0.375189145839,0.71647566115,0.0011,0.000709549639516
326,0.575189145839,0.91647566115,0.0011,0.000420764341798
327,0.475189145839,0.41647566115,0.0011,0.000530555695495
328,0.475189145839,0.91647566115,0.0011,0.000580514509236
329,0.475189145839,0.51647566115,0.0011,0.000530758992956
